nummer,naam,"ligging type 1","ligging nummer 1","ligging omschrijving 1","ligging hectometrering 1","ligging type 2","ligging nummer 2","ligging omschrijving 2","ligging hectometrering 2","ligging type 3","ligging nummer 3","ligging omschrijving 3","ligging hectometrering 3",thema,subthema,"eigenaar organisatie","eigenaar contactpersoon","eigenaar telefoon 1","eigenaar telefoon 2","in gedeeld beheer met organisatie","in gedeeld beheer met contactpersoon","in gedeeld beheer met telefoon 1","in gedeeld beheer met telefoon 2","beheerder organisatie","beheerder contactpersoon","beheerder telefoon 1","beheerder telefoon 2","beheerder email","geinspecteerd door",plaats,gebied,"dichtstbijzijnde hoogte markering",topcode,"gps coordinaten","rds coordinaten",opmerking,conditiescore,"laatste inspectiejaar","komende inspectiejaar","benodigd materieel","toelichting opmerkingveld","bgt nummer","bgt classificatie","imgeo classificatie","nen2767 beheerobject","Object Conditie","crow nummer","crow naam","crow info",verhardingssoort,"verhardings functie",verkeersfunctie,"wegcategorie lvvp","totale breedte","totale lengte","aantal rijbanen",peiljaar,"dichtstbijzijnde hoogtemerk",status,"volgende groot onderhoud in",id,breedte2,Wegvak,Wegnummer,Bebouwde_kom,Metrering,"Jaar conservering","Jaar deklaag","Jaar herstrating",Situering,Constructie,"Jaar aanleg",Onderhoudsproject,Wegvaknum,Lengte_Oppervlakte,objectBeginTijd,objectEindTijd,lokaalID,tijdstipRegistratie,eindRegistratie,LV-publicatiedatum,bronhouder,inOnderzoek,relatieveHoogteligging,bgt-status,plus-status,bgt-functie,bgt-fysiekVoorkomen,plus-functie,wegdeelOpTalud,ondersteunendWegdeelOpTalud,onbegroeidTerreindeelOpTalud,plus-fysiekVoorkomen,begroeidTerreindeelOpTalud,bgt-type,plus-type,identificatieBAG,nummeraanduidingreeks,typeOverbruggingsdeel,hoortBijTypeOverbrugging,overbruggingIsBeweegbaar,identificatieBAG_OPR,openbareRuimteNaam,openbareRuimteType,nauwkeurigheid,datumInwinning,inwinnendeInstantie,inwinningsmethode,bgt-classification,hectometeraanduiding,wijk,buurtcode,naamEnIdOpenbareRuimte,stadsdeel,wijkcode,creationDate,terminationDate,namespace,Objecttypegroep_IMBOR,Objecttype_IMBOR,Type_IMBOR,Typeplus_IMBOR,Typeplus2_IMBOR,Wegfunctiegroep_IMBOR,Wegfunctie_IMBOR,"Soort conservering","Type onderdeel",Gebruikersfunctie,Ondergrond2,Belang,Besteknummer,"Administratieve breedte","Soort verharding_N","Soort deklaag specifiek",Risicogetal,Actie,"Inspectie Rafeling","Inspectie Scheurvorming","Berekende lengte/oppervlakte"
VV-N351-19530,rijstrook-81,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"POLYGON((6.186004677175 52.956744357077,6.185979040089 52.956764829349,6.185327562279 52.956468804492,6.184783983429 52.956222497893,6.184808937138 52.956202075371,6.186004677175 52.956744357077))","POLYGON((208679.527 552487.707,208677.779 552489.966,208634.365 552456.541,208598.14 552428.729,208599.842 552426.475,208679.527 552487.707))",,,2023,,,,P0021.18e892c19e3b486b9de0cbdcda4ea919,,,,,,,,,,,,3.5,,1x2,,,,,0290ee77f4ff9a9fbe56f5ebbd97ff22,,81,N351,"buiten bebouwde kom","8,1",,2005,,links,,1964,N351-HRB-07.6-08.4,81,283.69,,,,20191015123901,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-04,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,stroomweg,zand,hoog,04-13-W,3.5,"dunne deklagen A","Deciphalt (Oosterhof Holman)",20,,A+,A+,283.69
VV-N351-19532,rijstrook-82,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"POLYGON((6.184372477472 52.956003732403,6.184506557035 52.956064818611,6.184808937138 52.956202075371,6.184783983429 52.956222497893,6.184089881599 52.955907411595,6.183587986271 52.955686505389,6.183612620712 52.955665698817,6.183689041763 52.955698682602,6.1839622213 52.955818090969,6.184079326055 52.955870528874,6.184372477472 52.956003732403))","POLYGON((208570.756 552404.08,208579.691 552410.977,208599.842 552426.475,208598.14 552428.729,208551.884 552393.152,208518.428 552368.198,208520.109 552365.901,208525.204 552369.628,208543.415 552383.118,208551.22 552389.04,208570.756 552404.08))",,,2023,,,,P0021.4e7dc5585ef244d3b1fc95fc5fa72bbe,,,,,,,,,,,,3.5,,1x2,,,,,04df323369e2d192062cb4c917e6ca06,,82,N351,"buiten bebouwde kom","8,2",,2005,,links,,1964,N351-HRB-07.6-08.4,82,287.65,,,,20191015123901,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-04,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,stroomweg,zand,hoog,04-13-W,3.5,"dunne deklagen A","Deciphalt (Oosterhof Holman)",20,,A+,A+,287.65
VV-N351-00000209,rijstrook-rechts-263,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,"Provincie Fryslân",,,,,,,,,,,,,,"POLYGON((5.981195700334 52.868011995744,5.981194017543 52.868013837412,5.981193446835 52.868014460337,5.981192087619 52.868017163118,5.981191710074 52.868019977837,5.981192237873 52.868022752102,5.981193684767 52.868025404963,5.981195974919 52.86802781997,5.981199032858 52.868029907633,5.981202723715 52.868031578755,5.981213233895 52.86803564233,5.981215335529 52.868036207014,5.981257927113 52.868053653795,5.981259811746 52.868054641934,5.981298922354 52.868070560322,5.981336183798 52.868085912758,5.981340344602 52.868087195107,5.98134486956 52.868087954413,5.981349535316 52.868088146854,5.981354178522 52.868087773246,5.981358606375 52.86808685252,5.981362566552 52.868085394922,5.981365926261 52.868083464019,5.981360825162 52.868088387183,5.9813497376 52.868100835079,5.981340722338 52.868113874761,5.981333866887 52.868127388968,5.981329243786 52.868141251525,5.981326910481 52.868155318357,5.98132685029 52.868169454748,5.98132606374 52.868167310843,5.981322645235 52.868160551891,5.981318382737 52.868153976877,5.981313291464 52.868147612685,5.98130744371 52.868141315167,5.981300916291 52.868135272662,5.9812937243 52.868129503068,5.981285927504 52.868124033046,5.981276897813 52.868118542204,5.98126857975 52.868114054329,5.981262568472 52.868111019798,5.981232670126 52.868096547317,5.981219378265 52.868089963343,5.981215149389 52.868088043273,5.981214179937 52.868088829944,5.981182173633 52.868073325489,5.981183142108 52.868072466929,5.981178115935 52.868069795944,5.981160584402 52.868061588507,5.981138834702 52.868051155394,5.981116355054 52.868040555163,5.981116439266 52.868040195275,5.981111640734 52.868037882622,5.98107664672 52.868021080955,5.981052503146 52.868009338697,5.981015975137 52.867992212141,5.980969282534 52.867970220439,5.981007748114 52.867936517531,5.981195700334 52.868011995744))","POLYGON((194997.774 542480.996,194997.659 542481.2,194997.62 542481.269,194997.526 542481.569,194997.498 542481.882,194997.531 542482.191,194997.626 542482.487,194997.778 542482.757,194997.982 542482.991,194998.229 542483.179,194998.933 542483.637,194999.074 542483.701,195001.926 542485.666,195002.052 542485.777,195004.671 542487.57,195007.166 542489.299,195007.445 542489.444,195007.749 542489.531,195008.063 542489.555,195008.376 542489.516,195008.675 542489.416,195008.943 542489.256,195009.171 542489.043,195008.823 542489.588,195008.065 542490.967,195007.446 542492.413,195006.972 542493.913,195006.648 542495.453,195006.478 542497.017,195006.461 542498.59,195006.41 542498.351,195006.186 542497.597,195005.905 542496.863,195005.568 542496.152,195005.18 542495.448,195004.746 542494.772,195004.267 542494.126,195003.747 542493.513,195003.144 542492.897,195002.588 542492.393,195002.186 542492.052,195000.186 542490.425,194999.297 542489.685,194999.014 542489.469,194998.948 542489.556,194996.807 542487.813,194996.873 542487.718,194996.537 542487.418,194995.364 542486.495,194993.909 542485.322,194992.405 542484.13,194992.411 542484.09,194992.09 542483.83,194989.749 542481.941,194988.134 542480.621,194985.69 542478.695,194982.566 542476.222,194985.187 542472.493,194997.774 542480.996))",,,2022,,,,P0021.362699ac177448eab3daed70e6c0aeac,,,,,,,,,,,,4.8,,1x2,,,,,0831f11884d3dda51c37b430b356fc21,,263,N351,"buiten bebouwde kom","26,3",,2017,,rechts,,2017,N351-HRB-26.2-26.3,263,154.61,,,,20240226123006,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-01-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,gebiedsontsluitingsweg,veen,hoog,17-01-WN,4.8,SMA,"SMA-NL 11B",,,A+,A+,154.61
VV-N351-29452,rijstrook,,,,,,,,,,,,,Verhardingen,rijstrook,,,,,,,,,,,,,,,,,,,"POLYGON((6.026807412062 52.883048774776,6.026834325737 52.883057545313,6.026865877942 52.88306756709,6.026902786317 52.883079150789,6.027012621723 52.883114005443,6.027189707293 52.883169950571,6.027364891375 52.883225869691,6.027489419627 52.883265758513,6.027464611238 52.883294199756,6.02651759227 52.88299425995,6.026553142985 52.88295270366,6.026609420951 52.882974275728,6.026674270212 52.882999863824,6.026741864647 52.883025230476,6.026777709882 52.883038275758,6.026807412062 52.883048774776))","POLYGON((198054.286 544180.461,198056.089 544181.453,198058.203 544182.587,198060.676 544183.898,198068.035 544187.842,198079.9 544194.173,198091.637 544200.5,198099.98 544205.013,198098.282 544208.163,198034.831 544174.222,198037.265 544169.619,198041.032 544172.053,198045.372 544174.939,198049.897 544177.802,198052.297 544179.275,198054.286 544180.461))",,,2023,,,,P0021.dc5feaeecc8b4843b612186bf9f460e7,,,,,,,,,,,,,,1x2,,,,,09ba36e4930eb9f5e6488da08b9475d4,,218,N351,"buiten bebouwde kom","21,8",,2014,,links,"2014 menggranulaat 0 300 False 14-16-WN 2014 AC 22 base OL-B 80 False 14-16-WN 2014 AC 22 base OL-B 80 False 14-16-WN 2014 AC 16 bind TL- 72 False 14-16-WN 2014 SMA-NL 8B steen 25 False 14-16-WN",2014,N351-HRB-21.6-21.8,218,276.78,,,,20221213104757,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2022-12-13,,NL.IMGEO,,,,,,,,,rijstrook,stroomweg,zand,hoog,14-16-WN,3.8,SMA,"SMA-NL 11A",14,,A+,A+,276.78
VV-N351-19524,rijstrook-78,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"POLYGON((6.189557657253 52.958368071576,6.189532270374 52.958388354204,6.188351803472 52.957846337723,6.18837732467 52.957826063429,6.189506370901 52.958344439605,6.189557657253 52.958368071576))","POLYGON((208916.273 552671.037,208914.542 552673.275,208835.889 552612.08,208837.629 552609.843,208912.856 552668.369,208916.273 552671.037))",,,2023,,,,P0021.f8d9e35970be459aafa73af4267bccb7,,,,,,,,,,,,3.5,,1x2,,,,,0bbe390ec46463f3afb9e40b71464abe,,78,N351,"buiten bebouwde kom","7,8",,2005,,links,,1964,N351-HRB-07.6-08.4,78,282.54,,,,20191015123901,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-14,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,stroomweg,zand,hoog,04-13-W,3.5,"dunne deklagen A","Deciphalt (Oosterhof Holman)",20,,A+,A+,282.54
VV-N351-00000213,rijstrook-midden-263,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,"Provincie Fryslân",,,,,,,,,,,,,,"MULTIPOLYGON(((5.981669963591 52.868291725962,5.981655994609 52.868291049679,5.981644276266 52.868290973274,5.981632579131 52.868291364072,5.981620947999 52.868292239822,5.981609442023 52.868293582255,5.981597814803 52.868294745558,5.98158610893 52.86829558573,5.981574339257 52.868296102697,5.981562565059 52.868296287177,5.981550771731 52.868296157217,5.981522267518 52.868294663655,5.981503782178 52.868294953459,5.981485383191 52.868296132515,5.981479526068 52.868296790764,5.98145953996 52.868291561213,5.981440444904 52.868285239828,5.981422390132 52.868277879787,5.981405510273 52.868269552313,5.981389969651 52.868260328482,5.981375902893 52.868250279517,5.981363415049 52.868239485775,5.981352611409 52.868228045588,5.981343582417 52.868216057358,5.981336403665 52.868203619563,5.981331150868 52.868190839667,5.981331088045 52.868188404582,5.981330277355 52.868181210267,5.981328608066 52.868174217935,5.98132685029 52.868169454748,5.981326910481 52.868155318357,5.981329243786 52.868141251525,5.981333866887 52.868127388968,5.981340722338 52.868113874761,5.9813497376 52.868100835079,5.981360825162 52.868088387183,5.981365926261 52.868083464019,5.981368553197 52.868081159323,5.981373882908 52.868076666382,5.981388793382 52.868065772115,5.981405394828 52.868055822015,5.981423525241 52.86804691574,5.981443022254 52.868039125993,5.981463693798 52.868032525624,5.981469978903 52.868032763914,5.981481916867 52.868032614573,5.981493835946 52.868032168764,5.981505721169 52.868031417575,5.981517543202 52.868030388111,5.981530962893 52.86802890135,5.981543244411 52.868027806687,5.981547027669 52.86802753621,5.981558409343 52.868026886377,5.981564789104 52.868026441201,5.981571793775 52.868026082778,5.981576200355 52.868025782233,5.981584996097 52.868024992509,5.981597553521 52.868023438144,5.981609200709 52.868021564792,5.981613940149 52.868020624531,5.98163666668 52.868024258739,5.981658698648 52.868029235424,5.981679812331 52.868035483806,5.981699814195 52.868042968906,5.981717209361 52.868050970249,5.981720872864 52.868052812239,5.981735720242 52.868061293586,5.981751265708 52.868071964209,5.981765011253 52.868083506525,5.981776821641 52.868095804382,5.981786576603 52.868108750539,5.981794185205 52.86812221065,5.981792730538 52.868127717766,5.981791651102 52.868134606965,5.981791751036 52.868141948608,5.981792875359 52.868149267171,5.981795008245 52.868156490839,5.981798149326 52.868163592655,5.981801751534 52.868169658701,5.981799504053 52.868183473488,5.981795070961 52.868197101461,5.98178849497 52.868210407607,5.981779848737 52.868223274736,5.981769204798 52.868235576672,5.981762447716 52.868242125715,5.981759911601 52.86824455578,5.981756650782 52.868247205138,5.981742303896 52.868258042721,5.981726311538 52.868268007806,5.981708820738 52.868276991819,5.981689979016 52.86828492213,5.981669963591 52.868291725962),(5.981452257234 52.86812847976,5.981446204545 52.868137685341,5.981442147347 52.86814729437,5.981440157444 52.868157126754,5.981440262581 52.86816703857,5.981442460438 52.868176859079,5.981446827832 52.868186776622,5.981453387006 52.868196242896,5.981462001869 52.868205078847,5.981472536573 52.868213123389,5.981484766294 52.868220224868,5.981498583291 52.868226105232,5.981513513962 52.868230883668,5.981529334334 52.868234471424,5.981545776378 52.868236815915,5.981562572184 52.868237873541,5.981577597373 52.868237591982,5.981592459024 52.86823620587,5.981606919905 52.868233743349,5.981620802184 52.868230232264,5.981633854271 52.868225736777,5.981645928401 52.868220311544,5.98165680366 52.868214092468,5.981666361862 52.86820712507,5.981674470825 52.868199517851,5.981681013099 52.86819137025,5.981685871596 52.868182808664,5.981689003358 52.868173950136,5.981690574914 52.868165027489,5.981690363641 52.868156050821,5.981688386345 52.868147163834,5.981684674195 52.868138474214,5.981679258726 52.868130116604,5.981672245599 52.868122216291,5.981663707719 52.868114674057,5.98165370901 52.868107822093,5.981642399315 52.868101758504,5.981629943325 52.868096581324,5.981616535189 52.868092370465,5.981602368686 52.868089178882,5.981588158926 52.868087173758,5.981573665622 52.868086158582,5.981559081821 52.868086132394,5.981544585962 52.868087112278,5.981530370725 52.868089070312,5.981516599212 52.868091987712,5.981503049286 52.868095910518,5.981490388819 52.868100808442,5.98147880988 52.868106608634,5.981468504292 52.868113220271,5.981459604481 52.868120552828,5.981452257234 52.86812847976)))","MULTIPOLYGON(((195029.453 542512.387,195028.513 542512.304,195027.724 542512.289,195026.936 542512.326,195026.152 542512.417,195025.376 542512.56,195024.592 542512.683,195023.803 542512.77,195023.01 542512.821,195022.217 542512.835,195021.423 542512.814,195019.505 542512.632,195018.26 542512.654,195017.02 542512.775,195016.625 542512.845,195015.284 542512.252,195014.004 542511.538,195012.795 542510.709,195011.666 542509.773,195010.628 542508.738,195009.69 542507.612,195008.859 542506.404,195008.142 542505.125,195007.545 542503.786,195007.073 542502.398,195006.731 542500.973,195006.729 542500.702,195006.681 542499.901,195006.575 542499.122,195006.461 542498.591,195006.478 542497.018,195006.648 542495.454,195006.972 542493.914,195007.446 542492.414,195008.065 542490.968,195008.823 542489.589,195009.171 542489.044,195009.35 542488.789,195009.713 542488.292,195010.727 542487.088,195011.854 542485.99,195013.083 542485.009,195014.403 542484.153,195015.801 542483.43,195016.224 542483.46,195017.028 542483.45,195017.831 542483.407,195018.632 542483.33,195019.429 542483.222,195020.334 542483.064,195021.162 542482.949,195021.417 542482.921,195022.184 542482.855,195022.614 542482.809,195023.086 542482.773,195023.383 542482.742,195023.976 542482.659,195024.823 542482.493,195025.609 542482.291,195025.929 542482.189,195027.456 542482.606,195028.935 542483.172,195030.351 542483.879,195031.691 542484.723,195032.855 542485.623,195033.1 542485.83,195034.092 542486.782,195035.129 542487.978,195036.044 542489.27,195036.828 542490.645,195037.473 542492.091,195037.973 542493.593,195037.87 542494.205,195037.791 542494.971,195037.791 542495.788,195037.86 542496.603,195037.997 542497.408,195038.202 542498.2,195038.439 542498.877,195038.275 542500.413,195037.964 542501.927,195037.509 542503.404,195036.915 542504.831,195036.187 542506.194,195035.726 542506.919,195035.553 542507.188,195035.331 542507.481,195034.355 542508.679,195033.269 542509.779,195032.083 542510.769,195030.807 542511.641,195029.453 542512.387),(195014.943 542494.101,195014.527 542495.122,195014.245 542496.189,195014.102 542497.282,195014.1 542498.385,195014.239 542499.479,195014.524 542500.585,195014.957 542501.642,195015.529 542502.63,195016.231 542503.531,195017.048 542504.328,195017.973 542504.99,195018.974 542505.53,195020.036 542505.938,195021.141 542506.208,195022.271 542506.335,195023.283 542506.312,195024.285 542506.166,195025.261 542505.9,195026.199 542505.517,195027.082 542505.024,195027.9 542504.427,195028.638 542503.741,195029.288 542502.971,195029.841 542502.129,195030.289 542501.226,195030.624 542500.276,195030.843 542499.292,195030.957 542498.3,195030.951 542497.301,195030.826 542496.311,195030.584 542495.342,195030.227 542494.409,195029.762 542493.526,195029.194 542492.682,195028.527 542491.914,195027.771 542491.233,195026.937 542490.65,195026.038 542490.174,195025.087 542489.811,195024.132 542489.58,195023.157 542489.459,195022.175 542489.448,195021.198 542489.549,195020.239 542489.759,195019.309 542490.076,195018.393 542490.505,195017.536 542491.043,195016.751 542491.682,195016.051 542492.412,195015.445 542493.223,195014.943 542494.101)))",,,2023,,,,P0021.d8297f4ee93b435baaf4006e493703cc,,,,,,,,,,,,7.5,,,,,,,0c88dd7d7cd8b2649c75d7c562fe86c6,,263,N351,"buiten bebouwde kom","26,3",,2017,,midden,,2017,N351-HRB-26.2-26.3,263,561.68,,,,20180125152516,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2018-01-25,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,gebiedsontsluitingsweg,veen,hoog,17-01-WN,7.5,SMA,"SMA-NL 11B",,,A+,A+,561.68
VV-N351-40257,rijstrook,,,,,,,,,,,,,Verhardingen,rijstrook,,,,,,,,,,,,,,,,,,,"POLYGON((5.843397781634 52.806803528431,5.84334626461 52.806813656031,5.843271930493 52.806674960162,5.843158358975 52.806451022096,5.843061265072 52.806255625766,5.84311003894 52.806247009572,5.843134239322 52.806293827922,5.843163708821 52.806353890579,5.843198066024 52.806424745608,5.843246181725 52.806518023885,5.843305947285 52.806632016987,5.843377830802 52.806768933851,5.843397781634 52.806803528431))","POLYGON((185761.902 535602.487,185758.421 535603.592,185753.506 535588.127,185746.005 535563.16,185739.595 535541.376,185742.89 535540.438,185744.489 535545.658,185746.434 535552.354,185748.701 535560.253,185751.88 535570.653,185755.83 535583.363,185760.581 535598.629,185761.902 535602.487))",,,2023,,,,P0021.bff82f338d354b2aa3e32556ccfc3c28,,,,,,,,,,,,,,1x2,,,,,0e0fbe5ecf1886b40804bf1c76b93009,,381,N351,"buiten bebouwde kom","38,1",,2023,,links,,1961,N351-HRB-35.0-38.1,381,228.27,,,,20240219215059,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2017-06-27,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,gebiedsontsluitingsweg,veen,hoog,"22-18-WN (Schagen)",3.75,SMA,"SMA-NL 8A",17,,A+,A+,228.27
VV-N351-17923,rijstrook-196,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"MULTIPOLYGON(((6.054722184727 52.891532296214,6.054725681732 52.891533606685,6.054741457437 52.891541094233,6.054752588826 52.891546091481,6.0549276671 52.891611928144,6.055151194065 52.89169578133,6.055291606204 52.891748897593,6.055264240245 52.891775381842,6.054048013523 52.891318533177,6.053985914849 52.891295901161,6.054014027074 52.89126863119,6.054075958691 52.891292001035,6.054186476125 52.891333692798,6.054202138354 52.891339599391,6.054481275358 52.891445573811,6.054563824072 52.891476233164,6.054577830251 52.891479749519,6.054592194525 52.891483362723,6.054603439934 52.891488044813,6.054637003969 52.891500546326,6.054692146949 52.891521078074,6.054702921627 52.891525097771,6.054722184727 52.891532296214)))","MULTIPOLYGON(((199924.589 545141.483,199924.823 545141.631,199925.877 545142.474,199926.621 545143.037,199938.336 545150.472,199953.293 545159.942,199962.688 545165.94,199960.819 545168.87,199879.437 545117.277,199875.281 545114.72,199877.201 545111.703,199881.345 545114.342,199888.74 545119.05,199889.788 545119.717,199908.465 545131.683,199913.989 545135.146,199914.928 545135.546,199915.891 545135.957,199916.643 545136.485,199918.889 545137.897,199922.579 545140.216,199923.3 545140.67,199924.589 545141.483)))",,,2023,,,,P0021.d1cb9e5c7ecd45d0b1cf49d40bb5154c,,,,,,,,,,,,3.5,,1x2,,,,,0f3f53ac0609d35d19216d26bc31e8a7,,196,N351,"buiten bebouwde kom","19,6",,2005,,links,,1961,N351-HRB-19.4-21.6,196,354.92,,,,20250113165241,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-19,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,stroomweg,zand,hoog,,3.5,SMA,"SMA-NL 11A",14,,A+,A+,354.92
VV-N351-20431,rijstrook-195,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"POLYGON((6.056201267912 52.892092099262,6.056264779696 52.892116618402,6.056325600901 52.892140092162,6.056371250484 52.892157710753,6.056389247096 52.892164646429,6.05654548859 52.892225607718,6.056505885413 52.892260248921,6.056029731377 52.892066621879,6.055768598069 52.891965654655,6.055797325648 52.89193785959,6.055863418505 52.891962121841,6.055867288672 52.891963538028,6.055872803786 52.891965636975,6.055917373752 52.891982641706,6.055962094394 52.891999780377,6.056004110542 52.892015936663,6.056046695583 52.892032368334,6.056061418835 52.892038055279,6.056091941579 52.892049845507,6.056142554037 52.892069413443,6.056201267912 52.892092099262))","POLYGON((200023.554 545204.697,200027.803 545207.465,200031.872 545210.115,200034.926 545212.104,200036.13 545212.887,200046.582 545219.768,200043.881 545223.598,200012.036 545201.755,199994.566 545190.357,199996.528 545187.282,200000.951 545190.023,200001.21 545190.183,200001.579 545190.42,200004.561 545192.34,200007.553 545194.275,200010.364 545196.099,200013.213 545197.954,200014.198 545198.596,200016.24 545199.927,200019.626 545202.136,200023.554 545204.697))",,,2023,,,,P0021.93cc3cd60b484f2ebf139d4d0707ee23,,,,,,,,,,,,3.5,,1x2,,,,,0fdd43a426651e96d8d662ffed23458a,,195,N351,"buiten bebouwde kom","19,5",,2005,,links,,1961,N351-HRB-19.4-21.6,195,244.41,,,,20180712134046,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-19,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,stroomweg,zand,hoog,05-21-W,3.5,SMA,"SMA-NL 8A",14,,A+,A+,244.41
VV-N351-26529,rijstrook-74,,,,,,,,,,,,,Verhardingen,rijstrook,"Provincie Fryslân",,,,,,,,"Provincie Fryslân",,,,,,,,,,"POLYGON((6.194268186105 52.96056531264,6.194236460573 52.96059043795,6.194158583644 52.960554478156,6.194144766797 52.960550949856,6.194062494689 52.960513114514,6.194055142778 52.960507493585,6.19400468952 52.960483309724,6.193910574078 52.960440809301,6.193905862874 52.96043955602,6.193892214218 52.960433051972,6.193889144952 52.960431257392,6.193853751036 52.960415005854,6.193702160091 52.960345196442,6.193549260138 52.960275395673,6.193400390823 52.960207041322,6.193263104373 52.960143722046,6.19319657691 52.960113795981,6.193185374851 52.960110816089,6.193138778746 52.960089939891,6.193135336363 52.960086476291,6.19312372565 52.960080713287,6.193055036222 52.960048950476,6.193050023073 52.960046656746,6.193081483043 52.960021641379,6.194268186105 52.96056531264))","POLYGON((209230.067 552919.068,209227.904 552921.84,209222.716 552917.78,209221.792 552917.377,209216.311 552913.105,209215.824 552912.474,209212.464 552909.745,209206.193 552904.945,209205.878 552904.802,209204.969 552904.068,209204.765 552903.866,209202.407 552902.031,209192.308 552894.149,209182.121 552886.267,209172.203 552878.549,209163.057 552871.4,209158.624 552868.02,209157.875 552867.68,209154.77 552865.322,209154.543 552864.934,209153.77 552864.284,209149.194 552860.698,209148.86 552860.439,209151.005 552857.679,209230.067 552919.068))",,,2022," "," "," ",P0021.8537d9b1a8be47269fdcc1a00a877d53,,,,,,,,,,,,3.5,,1x2,,,,,13e7be82b182d0f1c3ebee293ad85c51,,74,N351,"buiten bebouwde kom","7,4",,2020,,rechts,,2004,N351-HRB-05.3-07.6,74,351.92,,,,20200907123045,,,P0021,,0,bestaand,,"rijbaan regionale weg","gesloten verharding",,0,,,asfalt,,,,,,,,,,,,,,,,wegdeel,,,,,,,2016-04-04,,NL.IMGEO,Verhardingsobject,Verhardingsobject,Asfaltverharding,,,Wegen,Rijbaan,,rijstrook,stroomweg,zand,hoog,19-43-WN,3.5,SMA,"SMA-NL 8A",14,,A+,A+,351.92
